Module,logFC,p.value,q.value
M9.49,0.10260394364895,0.205653762097,0.0750212756572437
M6.5,-0.0595011965010988,0.211149589791802,0.0766409904786821
M9.50,-0.0690814224583274,0.218739634820906,0.0782535031600856
M6.3,0.0656628775580144,0.218749777663511,0.0782535031600856
M9.13,-0.0297291799964834,0.218839235282444,0.0782535031600856
M8.57,-0.0638940797999855,0.220631997443531,0.0782535031600856
M8.103,-0.0559840935931845,0.220981942737745,0.0782535031600856
M9.8,0.0330774137995639,0.230951950179655,0.0813870441431627
M8.109,0.0701512591762895,0.246898347878916,0.086586204099721
M8.26,0.0648171398247275,0.249299811955386,0.0870080585870675
M5.14,-0.11368898334454,0.262137049190686,0.0910506357714709
M8.107,-0.0630890294120318,0.268709222370938,0.0928889684032895
M8.9,0.0496446366690418,0.288664894085017,0.099314435300135
M9.26,0.0346186938365057,0.29166562198188,0.0998734941373778
M8.69,0.058211135852897,0.29731895319635,0.101331355920831
M6.17,0.0429886161550216,0.299952722361695,0.101751283689156
M8.27,0.046815524341335,0.305377832310849,0.103109791924641
M2.1,-0.0675265407062352,0.315215560609463,0.105938729325705
M6.8,-0.0483134295455251,0.333787019284486,0.111663329149003
M9.32,-0.0277919592766911,0.335762964221433,0.111809101911768
M6.16,-0.0233318553110924,0.369756203271022,0.122566621830897
M8.10,-0.0458618248882125,0.390690784414408,0.128833462344216
M8.77,0.0605834696659097,0.392211288944275,0.128833462344216
M9.1,-0.00929624302350428,0.398090714235863,0.130175704101943
M7.2,-0.0389353224331474,0.425515297875311,0.13851958365678
M8.23,-0.0417561661322426,0.432134812754848,0.140046448072784
M9.43,-0.0318511318088914,0.434439540359284,0.140167616960592
M9.51,0.0388296919013865,0.437294554055517,0.140248509337221
M7.34,0.0339943646073119,0.438554173943028,0.140248509337221
M9.17,0.0221163632681506,0.46328057352308,0.147442101579869
M8.90,-0.0598406563550891,0.466725177268092,0.147442101579869
M8.93,0.0490940680415667,0.467141537876962,0.147442101579869
M7.7,-0.0138116358104328,0.544683654055847,0.17088564101558
M8.45,0.0311824499461393,0.548170113978642,0.17088564101558
M9.42,-0.020629650731726,0.548479791094688,0.17088564101558
M8.3,-0.0176288688944659,0.574773973156895,0.178312627366678
M8.12,-0.0286167028344195,0.578898247984487,0.178827882995287
M8.80,-0.0223761100641606,0.584806640741776,0.179887569920815
M8.4,0.0162885990183957,0.60356715660137,0.184874969678588
M7.21,0.0188585121018307,0.606132247177726,0.184880580071957
M8.47,0.0209895640826776,0.616283499819312,0.187190369543612
M9.10,0.0180845545019859,0.620875213155826,0.18779928859458
M8.97,-0.0236881764354634,0.632658336903695,0.190569351097448
M8.79,-0.0573340254448885,0.636966097284327,0.191074096152732
M8.72,0.0165065085443737,0.658494789558346,0.196719282480228
M8.92,0.018521731115524,0.701005348079031,0.208433924471008
M8.1,0.00925644530262358,0.703450637647532,0.208433924471008
M8.98,0.0191916989102305,0.709805854954619,0.209211058176331
M8.34,-0.0390310232867932,0.711837276826017,0.209211058176331
M9.31,0.0179673962437548,0.758581653740075,0.222050377920198
M7.8,-0.00792544753300772,0.806769343932778,0.235207357412249
M9.39,0.00533731611503311,0.835796485497598,0.242695315867005
M6.11,-0.00604025249837388,0.844260214678796,0.244176275355808
M8.101,-0.0102067015654765,0.849636099811718,0.244755961274617
M6.1,0.00781790993432549,0.857694134005361,0.246100661492729
M2.2,-0.00293791303059621,0.944615550898144,0.269643336511027
M9.47,-0.00373238561121681,0.947172347486125,0.269643336511027
M8.95,0.00102074547871202,0.983110537172683,0.277395622766225
M8.73,-0.00126481719601886,0.985668484168629,0.277395622766225
M7.15,-0.00127668102844962,0.985867267017044,0.277395622766225
M6.20,0.000486561783188739,0.995693567338622,0.27807474150244
M9.36,-0.000186758042352895,0.995941954858261,0.27807474150244
