Module,logFC,p.value,q.value
M9.14,0.0168788177380884,0.186353838998787,0.037812370263124
M3.4,-0.0636040224632173,0.187876672015794,0.0379288305601037
M8.27,-0.0350979672545461,0.198737416177703,0.0399047405728718
M7.34,-0.0324543593164982,0.199660752338086,0.0399047405728718
M9.38,-0.0342846590836271,0.204255994783344,0.0406200579266667
M9.50,-0.0422628720254316,0.206243360425959,0.0408122361530916
M7.26,0.0260117216233464,0.210702581238457,0.0414892517289324
M6.10,-0.0270978623492742,0.237651237392889,0.046566296236519
M9.26,0.0233321144529397,0.24006112393628,0.0468090425708002
M9.52,-0.0359276325216838,0.251486630709295,0.048798836378057
M8.53,0.0407952258481552,0.253612522252966,0.048973611527317
M8.69,-0.0354892026160525,0.269777324486316,0.0518446434957793
M8.54,-0.0465429718554771,0.273580744033203,0.052324010528864
M9.48,0.0258721973238529,0.278222549385789,0.0529583950812306
M7.15,-0.040750776633349,0.284925611182198,0.0539772578033966
M7.14,-0.0329543165767095,0.302404155455404,0.0570182229639759
M9.39,-0.0165289186780995,0.308631665779281,0.057919214534664
M8.79,0.0511012020985172,0.315476744503316,0.0587195878673207
M8.97,-0.0294612139724871,0.31583457733171,0.0587195878673207
M9.37,0.0240022544081118,0.327520433950276,0.0606103000179382
M8.44,-0.0346071098089174,0.334028278116997,0.0615297690697322
M8.60,0.043522594911144,0.342465503241901,0.0627945744804173
M6.17,0.0228549226116962,0.357507546819881,0.0652533606322839
M8.58,-0.020726461369276,0.367690362745897,0.066806904687985
M8.93,0.0361040243249712,0.409040321240327,0.073983629173503
M8.73,-0.035880276875615,0.413358115967528,0.0744278165992872
M2.1,-0.0336372367225943,0.416338105229463,0.0746282198903184
M8.100,-0.0374175534998515,0.430290073326553,0.0767847709270828
M8.35,0.017615607564363,0.433110682316227,0.0769446026813092
M8.109,-0.0295592351924044,0.451204193282509,0.0798043330002249
M8.43,-0.0179511939014762,0.453530684309984,0.0798624450305049
M9.20,-0.00938644634631868,0.459491509683943,0.0801567600624757
M8.92,-0.0232992814719113,0.460100940674135,0.0801567600624757
M9.1,-0.00515726614247167,0.461217955754059,0.0801567600624757
M8.99,-0.0194567735806316,0.477980773873701,0.0827104211748262
M8.22,0.0155853381359844,0.494106231378848,0.0851322536357393
M7.30,0.0130266930375998,0.515005070746307,0.0883522000424331
M8.110,0.023563924356104,0.52525175797014,0.0897249947051534
M5.2,0.0174280788710603,0.577137182173379,0.0979679715487544
M8.103,-0.0166099305727682,0.578408058188321,0.0979679715487544
M9.36,0.0123608931746504,0.59400078305887,0.100184481684325
M9.32,0.00907532043549433,0.616563745138304,0.103553030013144
M8.40,-0.00797734310386577,0.635062128849181,0.106028674208538
M7.11,0.00986175504307111,0.638504201230662,0.106028674208538
M8.76,0.0161982483038524,0.639261558711031,0.106028674208538
M8.47,-0.0122770019901427,0.642783322410923,0.106172249326706
M8.28,-0.00850367688385964,0.65807642754494,0.10825098208963
M8.94,-0.0217982972146954,0.662078193167997,0.108462907370307
M8.59,-0.0108335739526164,0.666097370223257,0.10867594338025
M9.46,0.0140894422752001,0.701412817297826,0.113972578754962
M8.85,-0.0178103523979193,0.706300577477503,0.114302148098297
M8.91,0.0145504382717277,0.721291026304119,0.1162574070507
M8.42,0.00542024276590303,0.760223168857345,0.121942125939024
M7.23,-0.00916949911525528,0.762661787082351,0.121942125939024
M9.40,-0.00654187868165391,0.849849067560013,0.134055935159071
M6.11,-0.00359017957861643,0.850167647865051,0.134055935159071
M4.10,0.00707339281014324,0.852853663743545,0.134055935159071
M5.7,0.00825516045328715,0.855175935801331,0.134055935159071
M8.81,-0.00470198767796027,0.855193601521329,0.134055935159071
M8.12,-0.00407505106326852,0.895555188889029,0.139331193136695
M8.31,0.00333052398799772,0.895817815720893,0.139331193136695
M8.14,-0.00247260509255858,0.921217735247859,0.142726418702114
M8.90,0.00285778654010579,0.956166524999927,0.147569143030577
M7.9,8.98272014139742e-05,0.996839800262212,0.15325470119597
